"development_name","borough","account_name","location","meter_amr","meter_scope","tds","edp","rc_code","funding_source","amp","vendor_name","umis_bill_id","revenue_month","service_start_date","service_end_date","days","meter_number","estimated","current_charges","rate_class","bill_analyzed","consumption_kwh","kwh_charges","consumption_kw","kw_charges","other_charges"
"SOUTH JAMAICA II","QUEENS","SOUTH JAMAICA II","SOUTH JAMAICA II BLD 22","INTERVAL",,"66","220","Q006600","FEDERAL","NY005010080P","NEW YORK POWER AUTHORITY","12242775","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1788435","N","401.41","GOV/NYC/068","Yes","0","0","33.89","401.41","0"
"MARBLE HILL","BRONX","MARBLE HILL","BLD 02","INTERVAL",,"49","638","B004900","MIXED FINANCE/LLC1","NY005020490P","NEW YORK POWER AUTHORITY","12242855","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1786917","N","1491.17","GOV/NYC/068","Yes","0","0","127.2","1491.17","0"
"MARBLE HILL","BRONX","MARBLE HILL","BLD 04","AMR",,"49","638","B004900","MIXED FINANCE/LLC1","NY005020490P","NEW YORK POWER AUTHORITY","12242855","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2786915","N","13142.31","GOV/NYC/068","Yes","120400","6078.85","0","0","7063.46"
"MARBLE HILL","BRONX","MARBLE HILL","BLD 07","AMR",,"49","638","B004900","MIXED FINANCE/LLC1","NY005020490P","NEW YORK POWER AUTHORITY","12242855","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2786894","N","7789.33","GOV/NYC/068","Yes","71360","3602.88","0","0","4186.45"
"MARBLE HILL","BRONX","MARBLE HILL","BLD 03","AMR",,"49","638","B004900","MIXED FINANCE/LLC1","NY005020490P","NEW YORK POWER AUTHORITY","12242855","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2786918","N","7247.92","GOV/NYC/068","Yes","66400","3352.46","0","0","3895.46"
"MARLBORO","BROOKLYN","MARLBORO","BLD 17","AMR",,"83","426","K008300","MIXED FINANCE/LLC1","NY005020830P","NEW YORK POWER AUTHORITY","12243556","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2788544","N","2815.47","GOV/NYC/068","Yes","26560","1341.52","0","0","1473.95"
"MARLBORO","BROOKLYN","MARLBORO","BLD 25","AMR",,"83","426","K008300","MIXED FINANCE/LLC1","NY005020830P","NEW YORK POWER AUTHORITY","12243556","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2787080","N","3120.75","GOV/NYC/068","Yes","29440","1486.98","0","0","1633.77"
"MARLBORO","BROOKLYN","MARLBORO","BLD 10","AMR",,"83","426","K008300","MIXED FINANCE/LLC1","NY005020830P","NEW YORK POWER AUTHORITY","12243556","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2787118","N","2900.26","GOV/NYC/068","Yes","27360","1381.92","0","0","1518.34"
"MARLBORO","BROOKLYN","MARLBORO","BLD 11","AMR",,"83","426","K008300","MIXED FINANCE/LLC1","NY005020830P","NEW YORK POWER AUTHORITY","12243556","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2787117","N","3680.45","GOV/NYC/068","Yes","34720","1753.67","0","0","1926.78"
"MARLBORO","BROOKLYN","MARLBORO","BLD 09","AMR",,"83","426","K008300","MIXED FINANCE/LLC1","NY005020830P","NEW YORK POWER AUTHORITY","12243556","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2787116","N","3349.72","GOV/NYC/068","Yes","31600","1596.08","0","0","1753.64"
"MCKINLEY","BRONX","MCKINLEY","BLD 05","AMR",,"103","236","B010300","FEDERAL","NY005000590P","NEW YORK POWER AUTHORITY","12242990","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2787451","N","23319.98","GOV/NYC/068","Yes","211200","11037.31","0","0","12282.67"
"MARLBORO","BROOKLYN","MARLBORO","BLD 29","AMR",,"83","426","K008300","MIXED FINANCE/LLC1","NY005020830P","NEW YORK POWER AUTHORITY","12243556","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2788569","N","2255.76","GOV/NYC/068","Yes","21280","1074.83","0","0","1180.93"
"SOUTH JAMAICA II","QUEENS","SOUTH JAMAICA II","SOUTH JAMAICA II BLD 15","AMR",,"66","220","Q006600","FEDERAL","NY005010080P","NEW YORK POWER AUTHORITY","12242775","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2788043","N","2932.68","GOV/NYC/068","Yes","27760","1400.65","0","0","1532.03"
"SOUTH JAMAICA II","QUEENS","SOUTH JAMAICA II",,"AMR",,"66","220","Q006600","FEDERAL","NY005010080P","NEW YORK POWER AUTHORITY","12242775","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2788044","N","3034.1","GOV/NYC/068","Yes","28720","1449.09","0","0","1585.01"
"SOUTH JAMAICA II","QUEENS","SOUTH JAMAICA II","SOUTH JAMAICA II BLD 22","AMR",,"66","220","Q006600","FEDERAL","NY005010080P","NEW YORK POWER AUTHORITY","12242775","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2788435","N","2298.82","GOV/NYC/068","Yes","21760","1097.92","0","0","1200.9"
"SOUTH JAMAICA II","QUEENS","SOUTH JAMAICA II","SOUTH JAMAICA II BLD 19","AMR",,"66","220","Q006600","FEDERAL","NY005010080P","NEW YORK POWER AUTHORITY","12242775","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2788438","N","5510.4","GOV/NYC/068","Yes","52160","2631.77","0","0","2878.63"
"STUYVESANT GARDENS I","BROOKLYN","STUYVESANT GARDENS I","BLD 02","NONE",,"221","337","K022100","FEDERAL","NY005012210P","NEW YORK POWER AUTHORITY","12243746","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","8631979","N","7948.29","GOV/NYC/068","Yes","51520","2692.44","92.8","1020.8","4235.05"
"SUMNER","BROOKLYN","SUMNER","BLD 01 - Community Center","AMR","Community Center","73","538","K207300","FEDERAL","NY005010730P","NEW YORK POWER AUTHORITY","12243546","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2834373","N","1433.11","GOV/NYC/069","Exception","5840","305.96","21.6","231.77","895.38"
"TAFT","MANHATTAN","TAFT","BLD 01","NONE",,"97","261","M009700","FEDERAL","NY005010970P","NEW YORK POWER AUTHORITY","12243228","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","6689046","Y","13980","GOV/NYC/068","Yes","97600","5100.58","152","1672","7207.42"
"TAFT","MANHATTAN","TAFT","BLD 04","NONE",,"97","261","M009700","FEDERAL","NY005010970P","NEW YORK POWER AUTHORITY","12243231","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","9295098","N","10459.83","GOV/NYC/068","Yes","70400","3679.1","116","1276","5504.73"
"TAYLOR STREET-WYTHE AVENUE","BROOKLYN","TAYLOR STREET-WYTHE AVENUE","BLD 05","NONE",,"234","358","K023400","FEDERAL","NY005012340P","NEW YORK POWER AUTHORITY","12243641","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","6815000","Y","17599.58","GOV/NYC/068","Yes","105600","5518.66","212","2332","9748.92"
