"site_id","planned_kiosk_type","installation_status_","ppt_id","legacy_id","borough","council_district","cb","final_submission_a_","gf_permit_appl_id","gf_doitt_submitted_to_cb_a","gf_cb_comment_period_ends_a","street_address","cross_street_1","cross_street_2","ixn_code","postcode","zoningnumb","longitude","latitude","greenfield_in_bid_location","bid","historic_district","historic_district_name","neighborhood_tabulation_area_nta","bin","bbl","census_tract","location_1"
"BK-10-GF34914","LINK5G_NonAd","Ready for PreCx",,,"Brooklyn","43","310","2023-04-06T00:00:00.000",,,,"ACROSS STREET FROM 7551 SHORE ROAD","77th ST","78th ST","E","11209","PARK","-74.0379322","40.6321138","No",,"0",,"Bay Ridge","3149582","3059560018","bk-44","(40.6321138, -74.0379322)"
"BX-09-GF22753","LINK5G_NonAd","Planning",,,"Bronx","18","209","2022-08-09T00:00:00.000","90201","2022-10-17T00:00:00.000",,"28 METROPOLITAN OVAL","Maple Dr","Dead End","S","10462","R6","-73.857137","40.8382702","No",,"0",,"Parkchester","2096698","2039430001","bx-210.02","(40.8382702, -73.857137)"
"QU-12-GF44606","LINK5G_Ad","PreCx",,,"Queens","27","412","2022-11-17T00:00:00.000","90452","2023-01-04T00:00:00.000",,"194-03 LINDEN BOULEVARD","194TH STREET","195TH STREET","N","11412","C2-3","-73.7575684","40.6930526","No",,"0",,"St. Albans",,"4110660010","528","(40.6930526, -73.7575684)"
"QU-03-152384","LINK5G_Ad","Installed",,"LINK-020892","Queens","25","403","2022-03-08T00:00:00.000","90196","2022-05-13T00:00:00.000",,"69-02 NORTHERN BOULEVARD","70th Street","69th Street","S","11377","C2-2","-73.8966827","40.7542666","No",,"0",,"Jackson Heights",,,,"(40.7542666, -73.8966827)"
"QU-12-144852","LINK5G_Ad","PreCx","144852","15181","Queens","24","412","2021-10-08T00:00:00.000",,,,"88-40 SUTPHIN BOULEVARD","88 AVENUE","89 AVENUE","W","11435","C4-4A","-73.80893942","40.70394634","Yes","Sutphin Boulevard","0",,"Jamaica","4207011","4096880017","4023800","(40.70394634, -73.80893942)"
"BK-04-153264","LINK1.0","Installed",,,"Brooklyn","34","304","2022-01-28T00:00:00.000","90161","2022-04-08T00:00:00.000",,"427 TROUTMAN STREET","ST NICHOLAS AVENUE","WYCKOFF AVENUE","W","11237","M1-1","-73.9219553","40.7075395","No",,"0",,"Bushwick North","3072422","3031770025","BK-447","(40.7075395, -73.9219553)"
"BK-16-155305","LINK1.0","Installed",,,"Brooklyn","42","316","2022-01-28T00:00:00.000","90174","2022-04-08T00:00:00.000",,"130 NEW LOTS AVENUE","JUNIUS STREET","POWELL STREET","S","11212","M1-1","-73.9003482","40.6585361","No",,"0",,"Brownsville","3421599","3038630039","BK-920","(40.6585361, -73.9003482)"
"BK-02-143595","LINK5G_Ad","Live","143595","SC90727","Brooklyn","35","302","2022-03-08T00:00:00.000",,,,"403 MYRTLE AVENUE","MYRTLE AVENUE","PARK AVENUE","E","11205","C2-4","-73.9697882","40.6933089","Yes","Myrtle Avenue Brooklyn Partnership?","0",,"Fort Greene","3054298","2018870102","BK-187","(40.6933089, -73.9697882)"
"BK-09-153835","LINK5G_Ad","Live","153835",,"Brooklyn","41","309","2021-08-31T00:00:00.000","90022","2021-09-23T00:00:00.000","2021-11-22T00:00:00.000","506 UTICA AVENUE","RUTLAND ROAD","MIDWOOD ST","W","11203","C8-2","-73.9314656","40.660758","No",,"0",,"Prospect Lefferts Gardens-Wingate","3099204","3045900038","880","(40.660758, -73.9314656)"
"QU-14-GF44823","LINK5G_NonAd","Planning",,,"Queens","32","414","2022-08-09T00:00:00.000",,,,"205 BEACH 147 STREET","BEACH 149TH STREET","BEACH 148TH STREET","North","11694","R1-2","-73.8626958","40.5700406","No",,"0",,"Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","4306926","4163120024","QU-922","(40.5700406, -73.8626958)"
