"link_site_id","planned_kiosk_type","link_installation_status","smallest_ppt","cb_link_id","boro","council_district","community_board","street_address","cross_street_1","cross_street_2","ixn_corner","postcode","zoning","latitude","longitude","link_installation","link_smoke_tested_and_activated_a","neighborhood_tabulation_area_nta","building_identification_number_bin","borough_block_lot_bbl","census_tract_ct","location"
"bk-06-127417","LINK1.0","Live","127417","bk-06-127417","Brooklyn","39","306","739 UNION STREET","5 AVENUE","6 AVENUE","NE","11217","C1-4","40.676409000000000","-73.980290000000000","2017-03-11T00:00:00.000","2017-04-03T00:00:00.000","Park Slope-Gowanus","3019760","3009530001","3013100","(40.676409, -73.98029)"
"mn-05-122166","LINK1.0","Live","122166","mn-05-122166","Manhattan","4","105","132 WEST 40 STREET","BROADWAY","6 AVENUE","SE","10018","C5-3","40.754144000000000","-73.986581000000000","2017-04-02T00:00:00.000","2017-07-21T00:00:00.000","Midtown-Midtown South","1015281","1008150046","1011300","(40.754144, -73.986581)"
"mn-04-135811","LINK1.0","Live","135811","mn-04-135811","Manhattan","3","104","175 7 AVENUE","WEST 20 STREET","WEST 21 STREET","NE","10011","C2-5","40.742300810000000","-73.996830360000000","2018-03-03T00:00:00.000","2018-05-08T00:00:00.000","Hudson Yards-Chelsea-Flatiron-Union Square","1014742","1007960001","1008700","(40.74230081, -73.99683036)"
"bk-01-145998","LINK1.0","Live","145998","LINK-021156","Brooklyn","33","301","7 NASSAU AVENUE","NORTH 14 STREET","BANKER STREET","NE","11222","M1-1","40.722532630000000","-73.954688690000000","2017-11-22T00:00:00.000","2018-01-31T00:00:00.000","Greenpoint","3337774","3026390007","3056900","(40.72253263, -73.95468869)"
"mn-07-121298","LINK1.0","Live","121298","mn-07-121298","Manhattan","6","107","2477 BROADWAY","WEST 92 STREET","WEST 93 STREET","NW","10025","C4-6A","40.792255000000000","-73.973761000000000","2018-02-26T00:00:00.000","2018-05-31T00:00:00.000","Upper West Side","1033611","1012400010","1017900","(40.792255, -73.973761)"
"qu-12-124575","LINK1.0","Live","124575","SC90572","Queens","27","412","146-02 91 AVENUE","91st Avenue","Archer Avenue","E","11435","C6-2","40.7009333","-73.8087829","2022-06-14T00:00:00.000","2023-01-27T00:00:00.000","Jamaica","4213973","4099940053","4021200","(40.7009333, -73.8087829)"
"qu-04-124926","LINK1.0","Live","124926","qu-04-124926","Queens","25","404","77-20 QUEENS BOULEVARD","HILLYER STREET","IRELAND STREET","SW","11373","M1-1","40.738108570000000","-73.885717470000000","2016-11-19T00:00:00.000","2017-01-12T00:00:00.000","Elmhurst-Maspeth","4056457","4024520007","4047900","(40.73810857, -73.88571747)"
"mn-10-119980","LINK1.0","Live","119980","mn-10-119980","Manhattan","9","110","2109 FREDERICK DOUGLASS BOULEVARD","WEST 114 STREET","WEST 113 STREET","SW","10026","C1-4","40.803024250000000","-73.956488130000000","2016-09-17T00:00:00.000","2016-10-19T00:00:00.000","Central Harlem South","1055816","1018470060","1019702","(40.80302425, -73.95648813)"
"bk-02-145811","LINK1.0","Live","145811","LINK-018057","Brooklyn","33","302","322 LIVINGSTON STREET","NEVINS STREET","HANOVER PLACE","SW","11217","C6-4","40.688038760000000","-73.981872150000000","2017-03-31T00:00:00.000","2017-04-28T00:00:00.000","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","3000511","3001660032","3003700","(40.68803876, -73.98187215)"
"mn-08-134740","LINK1.0","Live","134740","mn-08-134740","Manhattan","5","108","1475 3 AVENUE","EAST 85 STREET","EAST 84 STREET","NE","10028","C1-9","40.777030190000000","-73.955138410000000","2016-03-02T00:00:00.000","2016-03-30T00:00:00.000","Yorkville","1048692","1015290001","1013800","(40.77703019, -73.95513841)"
"mn-05-135892","LINK1.0","Live","135892","mn-05-135892","Manhattan","4","105","300 MADISON AVENUE","EAST 42 STREET","EAST 41 STREET","MIDBLOCK","10017","C5-3","40.752544820000000","-73.979585200000000","2017-04-30T00:00:00.000","2017-07-19T00:00:00.000","Murray Hill-Kips Bay","1085972","1012760058","1008200","(40.75254482, -73.9795852)"
"bx-06-119390","LINK1.0","Live","119390","bx-06-119390","Bronx","15","206","426 EAST TREMONT AVENUE","PARK AVENUE","WEBSTER AVENUE","SW","10457","C4-5X","40.847405910000000","-73.899948350000000","2017-10-20T00:00:00.000","2018-01-12T00:00:00.000","Mount Hope","2009458","2029000068","2023100","(40.84740591, -73.89994835)"
"qu-06-145790","LINK1.0","Live","145790","LINK-006882","Queens","29","406","113-14 QUEENS BOULEVARD","76 ROAD","76 AVENUE","SW","11375","C1-2","40.717212350000000","-73.835496220000000","2017-03-11T00:00:00.000","2017-03-28T00:00:00.000","Forest Hills","4079813","4033400024","4076901","(40.71721235, -73.83549622)"
