"event_id","link_url","link_name"
"101025","http://www.nyc.gov/parks/arts_culture_fun","Parks' Arts, Culture, and Fun Series"
"101027","http://www.nycgovparks.org/facilities/recreationcenters/B270","Brownsville Recreation Center"
"101028","http://www.westerleighpark.com","Friends of Westerleigh Park"
"101030","http://www.nyc.gov/parks/arts_culture_fun","Parks' Arts, Culture, and Fun Series"
"101031","http://www.nyc.gov/parks/arts_culture_fun","Parks' Arts, Culture, and Fun series"
"101032","http://www.nyc.gov/parks/arts_culture_fun","Parks' Arts, Culture, and Fun series"
"101033","http://www.nyc.gov/parks/arts_culture_fun","Parks' Arts, Culture, and Fun series"
"101034","http://www.mmncny.org","Museum of Marine Navigation and Communication"
"101035","http://www.mmncny.org","Museum of Marine Navigation and Communication"
"101036","http://www.mmncny.org","Museum of Marine Navigation and Communication"
"101037","http://www.mmncny.org","Museum of Marine Navigation and Communication"
"101038","http://www.mmncny.org","Museum of Marine Navigation and Communication"
"101039","http://www.mmncny.org","Museum of Marine Navigation and Communication"
"101040","http://www.mmncny.org","Museum of Marine Navigation and Communication"
"101041","http://www.mmncny.org","Museum of Marine Navigation and Communication"
"101042","http://www.mmncny.org","Museum of Marine Navigation and Communication"
"101043","http://www.mmncny.org","Museum of Marine Navigation and Communication"
"101044","http://www.mmncny.org","Museum of Marine Navigation and Communication"
"101045","http://www.mmncny.org","Museum of Marine Navigation and Communication"
"101046","http://www.mmncny.org","Museum of Marine Navigation and Communication"
"101047","http://www.mmncny.org","Museum of Marine Navigation and Communication"
"101048","http://www.mmncny.org","Museum of Marine Navigation and Communication"
"101049","http://www.mmncny.org","Museum of Marine Navigation and Communication"
"101050","http://www.mmncny.org","Museum of Marine Navigation and Communication"
"101051","http://www.mmncny.org","Museum of Marine Navigation and Communication"
"101052","http://www.mmncny.org","Museum of Marine Navigation and Communication"
"101053","http://www.mmncny.org","Museum of Marine Navigation and Communication"
"101054","http://www.mmncny.org","Museum of Marine Navigation and Communication"
"101055","http://www.mmncny.org","Museum of Marine Navigation and Communication"
"101056","http://www.mmncny.org","Museum of Marine Navigation and Communication"
