"dispatching_base_num","pickup_datetime","dropoff_datetime","pulocationid","dolocationid","sr_flag"
"B02888","2017-10-15T02:59:15.000","2017-10-15 03:55:18","48","265",
"B02888","2017-10-15T02:08:11.000","2017-10-15 02:12:24","83","157",
"B02888","2017-10-15T02:42:53.000","2017-10-15 02:52:03","112","226",
"B02914","2017-10-15T02:50:32.000","2017-10-15 02:58:17",,,
"B02914","2017-10-15T02:04:05.000","2017-10-15 02:07:46",,,
"B02914","2017-10-15T02:10:38.000","2017-10-15 02:31:12",,,
"B02914","2017-10-15T02:31:41.000","2017-10-15 03:00:53",,,
"B02914","2017-10-15T02:54:32.000","2017-10-15 03:14:09",,,
"B02914","2017-10-15T02:45:32.000","2017-10-15 03:01:22",,,
"B02914","2017-10-15T02:05:01.000","2017-10-15 02:23:37",,,
"B02914","2017-10-15T02:45:46.000","2017-10-15 02:59:20",,,
"B02914","2017-10-15T02:27:40.000","2017-10-15 03:15:46",,,
"B02914","2017-10-15T02:08:41.000","2017-10-15 02:22:42",,,
"B02914","2017-10-15T02:10:46.000","2017-10-15 02:15:30",,,
"B02884","2017-10-15T02:39:50.000","2017-10-15 02:45:52","188","85",
"B02884","2017-10-15T02:49:20.000","2017-10-15 03:13:23","89","77","1"
"B02884","2017-10-15T02:49:37.000","2017-10-15 02:58:15","89","72","1"
"B02884","2017-10-15T02:20:04.000","2017-10-15 02:32:50","148","265",
"B02884","2017-10-15T02:30:08.000","2017-10-15 02:54:18","80","244",
"B02884","2017-10-15T02:11:03.000","2017-10-15 02:29:33","45","146",
"B02884","2017-10-15T02:44:14.000","2017-10-15 03:01:57","229","66",
"B02884","2017-10-15T02:39:01.000","2017-10-15 02:45:53","255","112",
"B02884","2017-10-15T02:50:49.000","2017-10-15 02:55:09","112","112",
"B02884","2017-10-15T02:43:22.000","2017-10-15 03:12:12","148","265",
"B02884","2017-10-15T02:14:35.000","2017-10-15 02:42:59","144","141","1"
"B02888","2017-10-15T02:32:11.000","2017-10-15 02:37:07","125","249",
"B02888","2017-10-15T02:41:27.000","2017-10-15 03:06:23","114","49",
"B02888","2017-10-15T02:27:16.000","2017-10-15 02:43:15","220","94","1"
"B02888","2017-10-15T02:31:11.000","2017-10-15 02:55:54","220","248","1"
"B02888","2017-10-15T02:26:13.000","2017-10-15 02:33:13","225","37",
"B02888","2017-10-15T02:53:16.000","2017-10-15 03:19:14","37","265",
"B02888","2017-10-15T02:22:28.000","2017-10-15 02:55:37","232","200",
"B02888","2017-10-15T02:04:01.000","2017-10-15 02:11:47","212","168",
"B02888","2017-10-15T02:41:35.000","2017-10-15 02:49:22","4","148",
"B02888","2017-10-15T02:53:28.000","2017-10-15 03:22:31","144","170","1"
"B02888","2017-10-15T02:43:14.000","2017-10-15 02:53:11","144","107",
"B02914","2017-10-15T02:28:24.000","2017-10-15 02:39:27",,,
"B02914","2017-10-15T02:09:57.000","2017-10-15 02:23:07",,,
"B02914","2017-10-15T02:50:01.000","2017-10-15 02:53:36",,,
"B02914","2017-10-15T02:24:21.000","2017-10-15 02:30:16",,,
"B02914","2017-10-15T02:09:49.000","2017-10-15 02:17:31",,,
"B02914","2017-10-15T02:37:30.000","2017-10-15 02:54:23",,,
"B02914","2017-10-15T02:48:16.000","2017-10-15 03:05:51",,,
"B02914","2017-10-15T02:25:54.000","2017-10-15 02:51:35",,,
"B02914","2017-10-15T02:02:02.000","2017-10-15 02:18:26",,,
"B02914","2017-10-15T02:45:19.000","2017-10-15 02:57:26",,,
"B02914","2017-10-15T02:37:30.000","2017-10-15 02:59:33",,,
"B02884","2017-10-15T02:18:43.000","2017-10-15 02:35:39","114","229","1"
"B02884","2017-10-15T02:22:16.000","2017-10-15 02:58:31","114","168","1"
"B02884","2017-10-15T02:09:12.000","2017-10-15 02:28:02","68","144","1"
"B02884","2017-10-15T02:36:16.000","2017-10-15 03:01:36","92","107",
"B02884","2017-10-15T02:11:31.000","2017-10-15 02:33:59","79","263","1"
"B02884","2017-10-15T02:14:15.000","2017-10-15 02:29:43","79","263","1"
"B02884","2017-10-15T02:13:03.000","2017-10-15 02:31:20","92","36",
"B02884","2017-10-15T02:21:35.000","2017-10-15 02:41:38","148","263",
"B02884","2017-10-15T02:06:42.000","2017-10-15 02:21:26","75","179",
"B02884","2017-10-15T02:11:15.000","2017-10-15 02:36:48","236","265",
"B02884","2017-10-15T02:13:07.000","2017-10-15 02:22:39","48","141",
"B02888","2017-10-15T02:58:23.000","2017-10-15 03:04:56","107","114",
"B02888","2017-10-15T02:00:29.000","2017-10-15 02:08:41","130","258",
"B02888","2017-10-15T02:16:54.000","2017-10-15 02:31:45","180","216","1"
"B02888","2017-10-15T02:24:30.000","2017-10-15 02:33:22","216","216","1"
"B02888","2017-10-15T02:42:26.000","2017-10-15 03:13:42","132","133",
"B02888","2017-10-15T02:37:35.000","2017-10-15 02:58:04","230","265",
"B02888","2017-10-15T02:14:19.000","2017-10-15 02:38:43","159","18","1"
"B02888","2017-10-15T02:20:33.000","2017-10-15 02:31:21","47","20","1"
"B02888","2017-10-15T02:01:02.000","2017-10-15 02:12:34","50","265",
"B02888","2017-10-15T02:44:23.000","2017-10-15 02:55:40","125","164",
"B02888","2017-10-15T02:28:26.000","2017-10-15 02:39:51","92","16",
"B02914","2017-10-15T02:38:26.000","2017-10-15 03:07:09",,,
"B02914","2017-10-15T02:16:55.000","2017-10-15 02:21:14",,,
"B02914","2017-10-15T02:43:26.000","2017-10-15 03:07:02",,,
"B02914","2017-10-15T02:31:39.000","2017-10-15 02:37:33",,,
"B02914","2017-10-15T02:59:02.000","2017-10-15 03:18:00",,,
"B02914","2017-10-15T02:22:58.000","2017-10-15 02:50:05",,,
"B02914","2017-10-15T02:53:48.000","2017-10-15 03:08:34",,,
"B02914","2017-10-15T02:41:12.000","2017-10-15 02:55:25",,,
"B02914","2017-10-15T02:09:52.000","2017-10-15 02:14:29",,,
"B02914","2017-10-15T02:08:16.000","2017-10-15 02:40:01",,,
"B02914","2017-10-15T02:14:13.000","2017-10-15 02:36:43",,,
"B02884","2017-10-15T02:38:40.000","2017-10-15 02:46:49","92","92",
"B02884","2017-10-15T02:51:58.000","2017-10-15 02:58:00","53","171",
